x,y
0.5,2.02599
0.6,2.02712
0.7,2.03389
0.8,2.04288
0.9,2.05581
1,2.19844
1.1,2.51338
1.2,2.65996
1.3,2.7746
1.4,2.85706
1.5,2.93349
1.6,3.00021
1.7,3.05516
1.8,3.10841
1.9,3.15837
2,3.19442
2.1,3.22986
2.2,3.26482
2.3,3.28722
2.4,3.30257
2.5,3.31779
2.6,3.3329
2.7,3.3431
2.8,3.35325
2.9,3.36335
3,3.37144
3.1,3.37417
3.2,3.37689
3.3,3.3796
3.4,3.38046
3.5,3.37926
3.6,3.37806
3.7,3.37687
3.8,3.37407
3.9,3.37037
4,3.36666
4.1,3.36297
4.2,3.3586
4.3,3.35403
4.4,3.34947
4.5,3.34491
4.6,3.33997
4.7,3.33499
4.8,3.33
4.9,3.32503
5,3.3175
