Mach,alpha_-10,alpha_-5,alpha_0,alpha_5,alpha_10
0.5,-0.35578,-0.17789,0,0.17789,0.35578
0.6,-0.356468,-0.178234,0,0.178234,0.356468
0.7,-0.357362,-0.178681,0,0.178681,0.357362
0.8,-0.358551,-0.179275,0,0.179275,0.358551
0.9,-0.36356,-0.18178,0,0.18178,0.36356
1,-0.3837,-0.19185,0,0.19185,0.3837
1.1,-0.425092,-0.212546,0,0.212546,0.425092
1.2,-0.444178,-0.222089,0,0.222089,0.444178
1.3,-0.45999,-0.229995,0,0.229995,0.45999
1.4,-0.474082,-0.237041,0,0.237041,0.474082
1.5,-0.485821,-0.24291,0,0.24291,0.485821
1.6,-0.495393,-0.247697,0,0.247697,0.495393
1.7,-0.504587,-0.252293,0,0.252293,0.504587
1.8,-0.513496,-0.256748,0,0.256748,0.513496
1.9,-0.521706,-0.260853,0,0.260853,0.521706
2,-0.528435,-0.264217,0,0.264217,0.528435
2.1,-0.535052,-0.267526,0,0.267526,0.535052
2.2,-0.541576,-0.270788,0,0.270788,0.541576
2.3,-0.548024,-0.274012,0,0.274012,0.548024
2.4,-0.553408,-0.276704,0,0.276704,0.553408
2.5,-0.558159,-0.279079,0,0.279079,0.558159
2.6,-0.562873,-0.281436,0,0.281436,0.562873
2.7,-0.567555,-0.283778,0,0.283778,0.567555
2.8,-0.572211,-0.286105,0,0.286105,0.572211
2.9,-0.575527,-0.287763,0,0.287763,0.575527
3,-0.578425,-0.289213,0,0.289213,0.578425
3.1,-0.581312,-0.290656,0,0.290656,0.581312
3.2,-0.584187,-0.292094,0,0.292094,0.584187
3.3,-0.587053,-0.293527,0,0.293527,0.587053
3.4,-0.58925,-0.294625,0,0.294625,0.58925
3.5,-0.591249,-0.295624,0,0.295624,0.591249
3.6,-0.593242,-0.296621,0,0.296621,0.593242
3.7,-0.59523,-0.297615,0,0.297615,0.59523
3.8,-0.597215,-0.298607,0,0.298607,0.597215
3.9,-0.598463,-0.299231,0,0.299231,0.598463
4,-0.599402,-0.299701,0,0.299701,0.599402
