Mach,kappa_q,alpha_-10,alpha_-5,alpha_0,alpha_5,alpha_10
0.500,1.000,-3.557804e-01,-1.778902e-01,0.000000e+00,1.778902e-01,3.557804e-01
0.550,1.000,-3.561018e-01,-1.780509e-01,0.000000e+00,1.780509e-01,3.561018e-01
0.600,1.000,-3.564681e-01,-1.782340e-01,0.000000e+00,1.782340e-01,3.564681e-01
0.650,1.000,-3.568853e-01,-1.784427e-01,0.000000e+00,1.784427e-01,3.568853e-01
0.700,1.000,-3.573623e-01,-1.786811e-01,0.000000e+00,1.786811e-01,3.573623e-01
0.750,1.000,-3.579112e-01,-1.789556e-01,0.000000e+00,1.789556e-01,3.579112e-01
0.800,1.000,-3.585511e-01,-1.792755e-01,0.000000e+00,1.792755e-01,3.585511e-01
0.850,1.000,-3.593604e-01,-1.796802e-01,0.000000e+00,1.796802e-01,3.593604e-01
0.900,1.000,-3.635600e-01,-1.817800e-01,0.000000e+00,1.817800e-01,3.635600e-01
0.950,1.000,-3.692728e-01,-1.846364e-01,0.000000e+00,1.846364e-01,3.692728e-01
1.000,1.000,-3.837000e-01,-1.918500e-01,0.000000e+00,1.918500e-01,3.837000e-01
1.050,0.991,-4.087889e-01,-2.043944e-01,0.000000e+00,2.043944e-01,4.087889e-01
1.100,0.981,-4.172019e-01,-2.086009e-01,0.000000e+00,2.086009e-01,4.172019e-01
1.150,0.972,-4.230448e-01,-2.115224e-01,0.000000e+00,2.115224e-01,4.230448e-01
1.200,0.963,-4.276891e-01,-2.138445e-01,0.000000e+00,2.138445e-01,4.276891e-01
1.250,0.954,-4.313767e-01,-2.156883e-01,0.000000e+00,2.156883e-01,4.313767e-01
1.300,0.944,-4.343758e-01,-2.171879e-01,0.000000e+00,2.171879e-01,4.343758e-01
1.350,0.935,-4.368440e-01,-2.184220e-01,0.000000e+00,2.184220e-01,4.368440e-01
1.400,0.926,-4.388831e-01,-2.194415e-01,0.000000e+00,2.194415e-01,4.388831e-01
1.450,0.916,-4.405628e-01,-2.202814e-01,0.000000e+00,2.202814e-01,4.405628e-01
1.500,0.907,-4.407326e-01,-2.203663e-01,0.000000e+00,2.203663e-01,4.407326e-01
1.550,0.898,-4.405710e-01,-2.202855e-01,0.000000e+00,2.202855e-01,4.405710e-01
1.600,0.889,-4.402215e-01,-2.201107e-01,0.000000e+00,2.201107e-01,4.402215e-01
1.650,0.879,-4.397014e-01,-2.198507e-01,0.000000e+00,2.198507e-01,4.397014e-01
1.700,0.870,-4.390248e-01,-2.195124e-01,0.000000e+00,2.195124e-01,4.390248e-01
1.750,0.861,-4.382029e-01,-2.191015e-01,0.000000e+00,2.191015e-01,4.382029e-01
1.800,0.852,-4.372451e-01,-2.186226e-01,0.000000e+00,2.186226e-01,4.372451e-01
1.850,0.842,-4.361593e-01,-2.180796e-01,0.000000e+00,2.180796e-01,4.361593e-01
1.900,0.833,-4.345523e-01,-2.172761e-01,0.000000e+00,2.172761e-01,4.345523e-01
1.950,0.824,-4.324941e-01,-2.162470e-01,0.000000e+00,2.162470e-01,4.324941e-01
2.000,0.814,-4.303481e-01,-2.151740e-01,0.000000e+00,2.151740e-01,4.303481e-01
2.050,0.814,-4.330527e-01,-2.165263e-01,0.000000e+00,2.165263e-01,4.330527e-01
2.100,0.814,-4.357368e-01,-2.178684e-01,0.000000e+00,2.178684e-01,4.357368e-01
2.150,0.814,-4.384021e-01,-2.192011e-01,0.000000e+00,2.192011e-01,4.384021e-01
2.200,0.814,-4.410504e-01,-2.205252e-01,0.000000e+00,2.205252e-01,4.410504e-01
2.250,0.814,-4.436831e-01,-2.218416e-01,0.000000e+00,2.218416e-01,4.436831e-01
2.300,0.814,-4.463014e-01,-2.231507e-01,0.000000e+00,2.231507e-01,4.463014e-01
2.350,0.814,-4.487393e-01,-2.243697e-01,0.000000e+00,2.243697e-01,4.487393e-01
2.400,0.814,-4.506861e-01,-2.253430e-01,0.000000e+00,2.253430e-01,4.506861e-01
2.450,0.814,-4.526243e-01,-2.263122e-01,0.000000e+00,2.263122e-01,4.526243e-01
2.500,0.814,-4.545546e-01,-2.272773e-01,0.000000e+00,2.272773e-01,4.545546e-01
2.550,0.814,-4.564777e-01,-2.282388e-01,0.000000e+00,2.282388e-01,4.564777e-01
2.600,0.814,-4.583938e-01,-2.291969e-01,0.000000e+00,2.291969e-01,4.583938e-01
2.650,0.814,-4.603036e-01,-2.301518e-01,0.000000e+00,2.301518e-01,4.603036e-01
2.700,0.814,-4.622074e-01,-2.311037e-01,0.000000e+00,2.311037e-01,4.622074e-01
2.750,0.814,-4.641056e-01,-2.320528e-01,0.000000e+00,2.320528e-01,4.641056e-01
2.800,0.814,-4.659984e-01,-2.329992e-01,0.000000e+00,2.329992e-01,4.659984e-01
2.850,0.814,-4.675148e-01,-2.337574e-01,0.000000e+00,2.337574e-01,4.675148e-01
2.900,0.814,-4.686991e-01,-2.343496e-01,0.000000e+00,2.343496e-01,4.686991e-01
2.950,0.814,-4.698807e-01,-2.349403e-01,0.000000e+00,2.349403e-01,4.698807e-01
3.000,0.814,-4.710596e-01,-2.355298e-01,0.000000e+00,2.355298e-01,4.710596e-01
3.050,0.814,-4.722360e-01,-2.361180e-01,0.000000e+00,2.361180e-01,4.722360e-01
3.100,0.814,-4.734102e-01,-2.367051e-01,0.000000e+00,2.367051e-01,4.734102e-01
3.150,0.814,-4.745822e-01,-2.372911e-01,0.000000e+00,2.372911e-01,4.745822e-01
3.200,0.814,-4.757521e-01,-2.378760e-01,0.000000e+00,2.378760e-01,4.757521e-01
3.250,0.814,-4.769199e-01,-2.384600e-01,0.000000e+00,2.384600e-01,4.769199e-01
3.300,0.814,-4.780860e-01,-2.390430e-01,0.000000e+00,2.390430e-01,4.780860e-01
3.350,0.814,-4.790597e-01,-2.395299e-01,0.000000e+00,2.395299e-01,4.790597e-01
3.400,0.814,-4.798751e-01,-2.399376e-01,0.000000e+00,2.399376e-01,4.798751e-01
3.450,0.814,-4.806894e-01,-2.403447e-01,0.000000e+00,2.403447e-01,4.806894e-01
3.500,0.814,-4.815026e-01,-2.407513e-01,0.000000e+00,2.407513e-01,4.815026e-01
3.550,0.814,-4.823147e-01,-2.411573e-01,0.000000e+00,2.411573e-01,4.823147e-01
3.600,0.814,-4.831258e-01,-2.415629e-01,0.000000e+00,2.415629e-01,4.831258e-01
3.650,0.814,-4.839361e-01,-2.419680e-01,0.000000e+00,2.419680e-01,4.839361e-01
3.700,0.814,-4.847453e-01,-2.423727e-01,0.000000e+00,2.423727e-01,4.847453e-01
3.750,0.814,-4.855539e-01,-2.427769e-01,0.000000e+00,2.427769e-01,4.855539e-01
3.800,0.814,-4.863615e-01,-2.431807e-01,0.000000e+00,2.431807e-01,4.863615e-01
3.850,0.814,-4.869948e-01,-2.434974e-01,0.000000e+00,2.434974e-01,4.869948e-01
3.900,0.814,-4.873779e-01,-2.436889e-01,0.000000e+00,2.436889e-01,4.873779e-01
3.950,0.814,-4.877606e-01,-2.438803e-01,0.000000e+00,2.438803e-01,4.877606e-01
4.000,0.814,-4.881430e-01,-2.440715e-01,0.000000e+00,2.440715e-01,4.881430e-01
4.050,0.814,-4.885251e-01,-2.442626e-01,0.000000e+00,2.442626e-01,4.885251e-01
