Mach,kappa_q
0.5,1
0.55,1
0.6,1
0.65,1
0.7,1
0.75,1
0.8,1
0.85,1
0.9,1
0.95,1
1,1
1.05,0.990719
1.1,0.981438
1.15,0.972157
1.2,0.962876
1.25,0.953596
1.3,0.944315
1.35,0.935034
1.4,0.925753
1.45,0.916472
1.5,0.907191
1.55,0.89791
1.6,0.888629
1.65,0.879348
1.7,0.870067
1.75,0.860787
1.8,0.851506
1.85,0.842225
1.9,0.832944
1.95,0.823663
2,0.814382
2.05,0.814382
2.1,0.814382
2.15,0.814382
2.2,0.814382
2.25,0.814382
2.3,0.814382
2.35,0.814382
2.4,0.814382
2.45,0.814382
2.5,0.814382
2.55,0.814382
2.6,0.814382
2.65,0.814382
2.7,0.814382
2.75,0.814382
2.8,0.814382
2.85,0.814382
2.9,0.814382
2.95,0.814382
3,0.814382
3.05,0.814382
3.1,0.814382
3.15,0.814382
3.2,0.814382
3.25,0.814382
3.3,0.814382
3.35,0.814382
3.4,0.814382
3.45,0.814382
3.5,0.814382
3.55,0.814382
3.6,0.814382
3.65,0.814382
3.7,0.814382
3.75,0.814382
3.8,0.814382
3.85,0.814382
3.9,0.814382
3.95,0.814382
4,0.814382
4.05,0.814382
